DATE,UNRATE_CH1,GDPC1_PC1
1980-10-01,1.4333333333333333,-0.03905
1981-01-01,1.1333333333333333,1.60000
1981-04-01,0.0666666666666667,2.96867
1981-07-01,-0.2666666666666667,4.32572
1981-10-01,0.8333333333333333,1.29983
1982-01-01,1.4000000000000000,-2.19052
1982-04-01,2.0333333333333333,-1.01075
1982-07-01,2.5000000000000000,-2.55604
1982-10-01,2.4333333333333334,-1.44318
1983-01-01,1.5333333333333334,1.43147
1983-04-01,0.7000000000000000,3.26848
1983-07-01,-0.5333333333333333,5.73697
1983-10-01,-2.1333333333333334,7.89966
1984-01-01,-2.5000000000000000,8.57805
1984-04-01,-2.7000000000000000,7.99653
1984-07-01,-1.9333333333333334,6.90073
1984-10-01,-1.2333333333333333,5.57564
1985-01-01,-0.6333333333333334,4.55482
1985-04-01,-0.1333333333333333,3.68399
1985-07-01,-0.2333333333333333,4.26242
1985-10-01,-0.2666666666666667,4.18246
1986-01-01,-0.2000000000000000,4.14611
1986-04-01,-0.1333333333333333,3.70200
1986-07-01,-0.2333333333333333,3.11918
1986-10-01,-0.2000000000000000,2.90724
1987-01-01,-0.4333333333333333,2.71158
1987-04-01,-0.9000000000000000,3.35360
1987-07-01,-0.9666666666666667,3.26199
1987-10-01,-1.0000000000000000,4.47456
1988-01-01,-0.9000000000000000,4.24126
1988-04-01,-0.8000000000000000,4.48449
1988-07-01,-0.5333333333333333,4.19320
1988-10-01,-0.5000000000000000,3.79934
1989-01-01,-0.5000000000000000,4.31516
1989-04-01,-0.2333333333333334,3.74791
1989-07-01,-0.2333333333333334,3.90754
1989-10-01,0.0333333333333334,2.74321
1990-01-01,0.1000000000000000,2.82101
1990-04-01,0.1000000000000000,2.41270
1990-07-01,0.4666666666666667,1.72736
1990-10-01,0.7666666666666666,0.60306
1991-01-01,1.3000000000000000,-0.95020
1991-04-01,1.5000000000000000,-0.53893
1991-07-01,1.1666666666666667,-0.10281
1991-10-01,0.9666666666666667,1.16640
1992-01-01,0.7666666666666667,2.85894
1992-04-01,0.7666666666666667,3.16984
1992-07-01,0.7666666666666666,3.66539
1992-10-01,0.2666666666666667,4.38265
1993-01-01,-0.2333333333333334,3.31991
1993-04-01,-0.5333333333333333,2.80667
1993-07-01,-0.8333333333333333,2.28651
1993-10-01,-0.7333333333333334,2.60771
1994-01-01,-0.5666666666666666,3.43071
1994-04-01,-0.8666666666666667,4.22561
1994-07-01,-0.8000000000000000,4.33705
1994-10-01,-1.0000000000000000,4.11617
1995-01-01,-1.1000000000000000,3.48141
1995-04-01,-0.5333333333333333,2.40238
1995-07-01,-0.3333333333333333,2.67333
1995-10-01,-0.0666666666666666,2.19979
1996-01-01,0.0666666666666666,2.60131
1996-04-01,-0.1666666666666667,4.00238
1996-07-01,-0.4000000000000000,4.05013
1996-10-01,-0.2333333333333334,4.42145
1997-01-01,-0.3000000000000000,4.31407
1997-04-01,-0.5000000000000000,4.31127
1997-07-01,-0.4000000000000000,4.67470
1997-10-01,-0.6666666666666666,4.48355
1998-01-01,-0.6000000000000000,4.85553
1998-04-01,-0.6000000000000000,4.09279
1998-07-01,-0.3333333333333334,4.10345
1998-10-01,-0.2333333333333334,4.88313
1999-01-01,-0.3333333333333333,4.81634
1999-04-01,-0.1333333333333333,4.72189
1999-07-01,-0.3000000000000000,4.79112
1999-10-01,-0.3666666666666666,4.82357
2000-01-01,-0.2666666666666667,4.22474
2000-04-01,-0.3333333333333334,5.24446
2000-07-01,-0.2333333333333333,3.97317
2000-10-01,-0.1666666666666667,2.90559
2001-01-01,0.2000000000000000,2.19751
2001-04-01,0.4666666666666667,0.99630
2001-07-01,0.8333333333333333,0.48924
2001-10-01,1.6000000000000000,0.16732
2002-01-01,1.4666666666666667,1.33726
2002-04-01,1.4333333333333333,1.32538
2002-07-01,0.9000000000000000,2.14652
2002-10-01,0.3666666666666667,1.99252
2003-01-01,0.1666666666666667,1.67926
2003-04-01,0.3000000000000000,1.95507
2003-07-01,0.4000000000000000,3.23114
2003-10-01,-0.0333333333333334,4.30044
2004-01-01,-0.1666666666666667,4.34195
2004-04-01,-0.5333333333333333,4.22749
2004-07-01,-0.7000000000000000,3.49486
2004-10-01,-0.4000000000000000,3.35110
2005-01-01,-0.4000000000000000,3.90884
2005-04-01,-0.5000000000000000,3.61774
2005-07-01,-0.4666666666666666,3.44860
2005-10-01,-0.4666666666666666,2.97274
2006-01-01,-0.5666666666666667,3.21311
